canonical_name,entity_type,party,aliases
Partia Socialiste,PARTY,PS,PS|Partia Socialiste|socialistet|socialistët|socialiste
Partia Demokratike,PARTY,PD,PD|Partia Demokratike|demokratet|demokratët|demokrate
Partia e Lirisë,PARTY,PL,PL|Partia e Lirisë|Partia e Lirise|LSI|Lëvizja Socialiste për Integrim|Levizja Socialiste per Integrim
Partia Mundësia,PARTY,MUNDESIA,Partia Mundësia|Partia Mundesia|Mundësia|Mundesia
Edi Rama,PERSON,PS,Edi Rama|Rama|Kryeministri Rama|Kryeministrit Rama
Sali Berisha,PERSON,PD,Sali Berisha|Berisha|Sali Berishës|Sali Berishes
Ilir Meta,PERSON,PL,Ilir Meta|Meta|Ilir Metës|Ilir Metes
Agron Shehaj,PERSON,MUNDESIA,Agron Shehaj|Shehaj
Belinda Balluku,PERSON,PS,Belinda Balluku|Balluku
Elisa Spiropali,PERSON,PS,Elisa Spiropali|Spiropali
Taulant Balla,PERSON,PS,Taulant Balla|Balla
Erion Veliaj,PERSON,PS,Erion Veliaj|Veliaj
Lulzim Basha,PERSON,PD,Lulzim Basha|Basha
Gazment Bardhi,PERSON,PD,Gazment Bardhi|Gazmend Bardhi|Bardhi
Flamur Noka,PERSON,PD,Flamur Noka|Noka
Monika Kryemadhi,PERSON,PL,Monika Kryemadhi|Kryemadhi
